%x	y
0.005	1.184
0.054	1.285
0.093	1.097
0.147	1.197
0.206	1.272
0.247	1.135
0.297	1.011
0.360	1.060
0.425	1.050
0.468	1.049
0.517	1.047
0.569	0.942
0.621	0.937
0.670	1.040
0.700	1.137
0.708	1.520
0.718	2.732
0.722	4.434
0.726	5.861
0.731	7.244
0.734	9.962
0.738	13.501
0.744	16.840
0.748	21.620
0.752	25.859
0.755	30.579
0.760	34.283
0.764	38.656
0.769	44.526
0.775	50.256
0.780	56.014
0.792	62.082
0.802	66.454
0.815	70.191
0.837	74.896
0.856	77.136
0.883	79.999
0.905	81.132
0.939	82.287
0.970	83.612
0.999	83.936
1.042	84.630
1.083	85.210
1.123	85.892
1.179	86.438
1.232	86.745
1.276	87.035
1.334	87.455
1.409	87.761
1.468	88.024
1.534	88.567
1.581	88.579
1.626	88.442
1.682	88.851
1.730	88.823
1.773	88.863
1.820	88.938
1.854	88.890
1.887	88.903
1.924	89.198
1.962	89.320
2.000	89.133
2.042	88.956
2.086	89.218
2.120	89.183
2.158	89.183
2.190	89.337
2.223	89.262
2.250	89.100
2.285	89.024
2.318	89.020
2.349	89.266
2.389	89.203
2.411	89.127
2.440	89.127
2.470	89.102
2.497	89.132
2.508	89.121
2.520	89.783
2.530	91.452
2.538	92.944
2.558	92.382
2.578	91.331
2.596	90.654
2.607	88.847
2.613	86.918
2.618	85.049
2.622	83.020
2.624	80.367
2.628	78.033
2.635	74.733
2.640	70.901
2.644	67.253
2.650	63.840
2.654	59.773
2.658	56.495
2.663	53.671
2.667	50.179
2.674	46.915
2.678	43.431
2.684	40.368
2.688	38.215
2.695	35.835
2.706	32.724
2.714	30.646
2.722	28.747
2.728	27.164
2.739	24.916
2.750	23.139
2.764	21.217
2.777	19.661
2.795	18.171
2.814	17.198
2.838	15.599
2.862	14.518
2.883	13.787
2.906	12.695
2.936	11.658
2.961	10.975
2.987	10.255
3.016	9.620
3.039	9.561
3.067	8.962
3.098	8.286
3.133	7.879
3.178	7.328
3.218	7.195
3.251	6.914
3.285	6.245
3.315	5.912
3.342	5.831
3.374	5.400
3.399	5.251
3.431	4.908
3.457	4.711
3.481	4.597
3.498	4.356
