x	y
0.005	0.471
0.027	0.473
0.075	0.394
0.131	0.663
0.170	0.742
0.211	0.608
0.255	0.601
0.296	0.627
0.348	0.398
0.406	0.485
0.448	0.541
0.480	0.737
0.514	0.838
0.562	1.009
0.601	0.723
0.648	0.902
0.682	1.170
0.717	1.349
0.745	1.620
0.776	1.692
0.812	1.801
0.853	1.873
0.898	2.142
0.956	3.268
0.997	3.183
1.036	3.745
1.074	4.230
1.117	4.538
1.159	5.367
1.190	5.918
1.221	6.843
1.276	7.939
1.311	9.694
1.338	10.823
1.369	12.144
1.401	13.747
1.434	16.314
1.467	19.353
1.495	22.404
1.525	25.444
1.545	28.324
1.568	31.578
1.587	34.745
1.603	36.992
1.618	39.460
1.628	41.783
1.641	43.913
1.658	46.549
1.672	49.389
1.690	51.965
1.703	54.587
1.717	57.324
1.733	59.998
1.744	62.749
1.758	65.278
1.770	68.254
1.782	70.968
1.793	73.719
1.804	76.597
1.819	80.270
1.828	83.512
1.843	86.951
1.854	90.015
1.861	92.801
1.873	96.396
1.884	99.705
1.893	102.745
1.902	105.722
1.912	109.003
1.926	113.474
1.935	116.736
1.947	119.964
1.954	123.760
1.966	127.820
1.976	131.051
1.984	134.819
1.996	138.563
2.004	142.081
2.011	144.629
2.020	147.767
2.027	151.021
2.036	153.835
2.041	156.946
2.050	160.660
2.059	163.814
2.070	167.471
2.078	171.683
2.089	176.044
2.094	178.746
2.102	182.205
2.111	186.366
2.120	190.085
2.127	192.785
2.135	196.902
2.142	200.574
2.152	204.728
2.161	208.678
2.166	211.631
2.175	216.179
2.184	220.737
2.196	226.096
2.203	229.929
2.208	233.800
2.218	237.905
2.226	241.151
2.233	245.033
2.240	249.077
2.247	252.152
2.254	255.685
2.259	259.557
2.268	262.758
2.272	265.791
2.279	269.485
2.286	273.399
2.295	277.170
2.300	280.527
2.304	284.120
2.313	287.488
2.319	291.130
2.324	295.564
2.331	298.087
2.337	300.584
2.339	303.030
2.343	305.538
2.347	308.184
2.353	311.095
2.357	313.265
2.362	316.517
2.368	319.245
2.374	321.907
2.379	325.273
2.385	327.454
2.391	329.005
2.397	329.019
2.403	328.458
2.408	326.682
2.411	324.194
2.416	320.681
2.419	317.508
2.423	314.250
2.426	310.333
2.430	305.864
2.434	300.641
2.437	295.894
2.439	289.604
2.441	284.899
2.444	279.791
2.446	274.000
2.449	267.371
2.453	260.904
2.457	252.052
2.461	244.114
2.464	235.787
2.466	229.385
2.469	224.390
2.471	218.167
2.475	211.295
2.479	204.933
2.483	197.628
2.488	189.374
2.493	182.065
2.498	174.246
2.502	167.785
2.505	162.105
2.509	157.277
2.514	152.112
2.519	147.899
2.523	143.201
2.525	138.631
2.527	134.811
2.530	130.417
2.535	127.115
2.539	122.902
2.542	118.450
2.546	115.256
2.548	112.017
2.553	109.326
2.557	105.577
2.561	102.311
2.565	99.031
2.571	95.100
2.577	91.422
2.581	88.343
2.587	85.423
2.593	80.319
2.600	76.344
2.611	70.693
2.624	66.168
2.630	62.896
2.640	59.268
2.648	55.517
2.671	48.879
2.686	45.090
2.701	40.934
2.714	38.104
2.730	35.182
2.749	31.784
2.768	29.221
2.780	27.197
2.798	25.350
2.822	22.585
2.840	21.462
2.863	19.767
2.893	17.994
2.910	16.399
2.923	15.557
2.940	14.602
2.963	13.813
2.987	13.005
3.011	12.120
3.043	11.117
3.071	10.556
3.093	9.907
3.126	9.870
3.152	9.010
3.178	8.537
3.222	8.051
3.250	7.680
3.280	7.345
3.321	6.990
3.341	6.634
3.375	6.446
3.404	6.343
3.438	6.068
3.472	5.801
3.493	5.860
