x	y
0.005	1.054
0.048	0.763
0.093	0.886
0.136	0.896
0.185	0.899
0.222	0.901
0.255	0.902
0.299	1.120
0.336	1.005
0.379	0.716
0.404	0.840
0.448	0.681
0.477	0.682
0.502	0.804
0.527	1.004
0.550	0.606
0.577	0.554
0.612	0.470
0.635	0.734
0.660	0.914
0.690	0.916
0.720	0.918
0.750	1.442
0.774	1.419
0.798	1.873
0.822	2.376
0.844	3.256
0.866	4.045
0.892	5.583
0.913	6.496
0.931	8.210
0.964	10.808
0.980	12.126
0.999	14.478
1.015	17.244
1.043	20.850
1.062	23.887
1.083	26.963
1.098	29.768
1.113	32.668
1.132	35.522
1.144	37.842
1.161	40.089
1.174	42.738
1.188	44.877
1.202	47.438
1.221	50.076
1.241	53.249
1.258	56.271
1.277	59.116
1.299	62.684
1.313	65.474
1.335	68.520
1.350	71.491
1.366	73.978
1.386	76.864
1.401	79.678
1.424	83.001
1.441	85.582
1.463	89.295
1.482	92.668
1.505	95.727
1.523	98.853
1.541	101.542
1.557	103.750
1.573	106.465
1.587	108.920
1.604	111.684
1.622	114.252
1.639	116.784
1.657	119.190
1.677	122.389
1.696	125.374
1.717	128.184
1.746	133.028
1.772	137.051
1.799	140.962
1.819	144.555
1.844	147.750
1.866	151.686
1.886	155.237
1.906	158.345
1.927	161.399
1.946	164.179
1.963	166.795
1.981	169.602
2.000	172.353
2.017	174.842
2.031	177.059
2.050	180.368
2.068	182.772
2.082	184.715
2.103	187.657
2.120	190.376
2.141	193.699
2.160	196.973
2.178	199.626
2.196	202.164
2.213	205.252
2.236	209.019
2.254	212.089
2.278	215.193
2.299	218.566
2.320	221.632
2.343	224.949
2.362	227.305
2.370	228.740
2.377	229.617
2.384	229.837
2.390	229.348
2.395	228.334
2.398	226.765
2.402	224.550
2.406	222.068
2.411	219.080
2.417	215.225
2.422	210.005
2.426	205.923
2.429	201.672
2.434	197.781
2.440	191.824
2.446	185.429
2.451	179.022
2.458	171.144
2.463	164.813
2.467	159.783
2.470	155.529
2.476	151.724
2.480	146.420
2.486	142.057
2.491	136.750
2.497	131.554
2.505	124.994
2.511	118.865
2.518	113.536
2.528	107.336
2.534	103.206
2.539	98.668
2.549	93.458
2.557	89.530
2.567	83.754
2.579	78.506
2.587	74.186
2.599	69.628
2.608	66.340
2.619	62.212
2.628	58.651
2.641	54.553
2.656	51.583
2.667	48.739
2.683	45.315
2.695	42.570
2.707	39.941
2.716	38.638
2.726	36.314
2.740	34.696
2.755	32.051
2.769	30.016
2.786	28.212
2.804	26.311
2.824	24.215
2.842	23.060
2.860	21.172
2.878	20.110
2.894	19.145
2.917	18.007
2.938	17.378
2.967	15.763
2.991	15.257
3.019	14.268
3.047	13.522
3.077	12.880
3.104	12.128
3.136	10.983
3.173	10.962
3.208	10.091
3.251	9.604
3.293	9.292
3.331	8.351
3.360	8.179
3.393	7.950
3.431	7.463
3.462	6.990
3.496	6.938
